import time: self [us] | cumulative | imported package
import time:      9176 |       9176 |                             rich.protocol
import time:     11996 |      21172 |                           rich.measure
import time:     10963 |     143887 |                         rich.constrain
import time:     10519 |     154406 |                       rich.align
import time:      9328 |       9328 |                       rich.containers
import time:      8347 |       8347 |                       rich.control
import time:      9810 |       9810 |                         rich._emoji_replace
import time:      9908 |      19717 |                       rich.emoji
import time:     16161 |     217255 |                     rich.text
import time:     11529 |     228784 |                   rich.highlighter
import time:     17405 |     482386 |                 rich.pretty
import time:     13481 |     523086 |               structlog.tracebacks
import time:     12952 |     553595 |             structlog.processors
import time:     14834 |      14834 |                   colorama.ansi
import time:      2476 |       2476 |                     msvcrt
import time:      1131 |       1131 |                         _ctypes
import time:       372 |        372 |                         ctypes._endian
import time:      7081 |       8582 |                       ctypes
import time:     16822 |      25403 |                     colorama.win32
import time:     11403 |      39282 |                   colorama.winterm
import time:     13326 |      67441 |                 colorama.ansitowin32
import time:     20023 |      87464 |               colorama.initialise
import time:     11512 |      98976 |             colorama
import time:      2428 |       2428 |             better_exceptions
import time:     11933 |      11933 |               rich._null_file
import time:      9249 |       9249 |                 rich.default_styles
import time:     17045 |      17045 |                 rich.theme
import time:     11950 |      38244 |               rich.themes
import time:     12017 |      12017 |               rich._export_format
import time:      9762 |       9762 |               rich._fileno
import time:     10784 |      10784 |               rich._log_render
import time:      9665 |       9665 |               rich.markup
import time:      8775 |       8775 |               rich.pager
import time:     10449 |      10449 |               rich.region
import time:      8830 |       8830 |               rich.screen
import time:     10786 |      10786 |               rich.styled
import time:     47050 |     178289 |             rich.console
import time:     14837 |      14837 |                 pygments
import time:     22968 |      22968 |                 pygments.lexers._mapping
import time:      9934 |       9934 |                 pygments.modeline
import time:      8297 |       8297 |                 pygments.plugin
import time:      9197 |       9197 |                 pygments.util
import time:     31832 |      97063 |               pygments.lexers
import time:     10308 |      10308 |               pygments.token
import time:     10093 |      10093 |                 rich.padding
import time:      8873 |       8873 |                   rich.box
import time:      9623 |       9623 |                   rich._ratio
import time:     12925 |      31419 |                 rich.table
import time:     10430 |      51942 |               rich.columns
import time:      8787 |       8787 |               rich.panel
import time:      9102 |       9102 |               rich.scope
import time:      9132 |       9132 |                   pygments.filter
import time:     16407 |      16407 |                   pygments.filters
import time:      9203 |       9203 |                   pygments.regexopt
import time:     11646 |      46386 |                 pygments.lexer
import time:      9043 |       9043 |                 pygments.style
import time:     23392 |      23392 |                   pygments.styles._mapping
import time:     19064 |      42456 |                 pygments.styles
import time:     14362 |     112246 |               rich.syntax
import time:     18787 |     308232 |             rich.traceback
import time:     21593 |    1181427 |           structlog.dev
import time:     12477 |      12477 |                 structlog._base
import time:     11477 |      23954 |               structlog._native
import time:     11650 |      11650 |               structlog._output
import time:     15039 |      50641 |             structlog._config
import time:     13334 |      63975 |           structlog.stdlib
import time:     11103 |      11103 |           structlog.testing
import time:     14965 |      14965 |                 greenlet._greenlet
import time:     20177 |      35141 |               greenlet
import time:     10396 |      45537 |             structlog._greenlets
import time:     10450 |      55986 |           structlog.threadlocal
import time:      9484 |       9484 |           structlog.types
import time:      6441 |       6441 |           structlog._generic
import time:      1315 |       1315 |               twisted
import time:       646 |       1961 |             twisted.python
import time:      8477 |      10437 |           structlog.twisted
import time:     18766 |    1379824 |         structlog
import time:     23879 |    1425207 |       airflow.utils.log.logging_mixin
import time:     37618 |    1616206 |     airflow.providers_manager
import time:      1914 |       1914 |           pprint
import time:     16324 |      16324 |             attrs.converters
import time:     11910 |      11910 |             attrs.exceptions
import time:     10278 |      10278 |             attrs.filters
import time:      9550 |       9550 |             attrs.setters
import time:     11618 |      11618 |             attrs.validators
import time:     17172 |      76850 |           attrs
import time:     26028 |      26028 |                   rpds.rpds
import time:     42837 |      68865 |                 rpds
import time:     10955 |      10955 |                   referencing._attrs
import time:     23689 |      34644 |                 referencing.exceptions
import time:     13666 |      13666 |                 referencing.typing
import time:     52707 |     169880 |               referencing._core
import time:     15234 |     185113 |             referencing
import time:       983 |     186095 |           referencing.exceptions
import time:     10228 |      10228 |           jsonschema._utils
import time:     14952 |     290037 |         jsonschema.exceptions
import time:      1679 |       1679 |         fqdn
import time:     12942 |      12942 |             idna.idnadata
import time:     12188 |      12188 |             idna.intranges
